Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.075,0.8473,9,False
Parole lette da qualcun altro,-0.285,0.4581,9,False
Pensieri non propri,-0.502,0.1684,9,False
Pensieri come scritti,-0.285,0.4581,9,False
Pensieri ripetuti o echeggianti,-0.243,0.5292,9,False
Perdita di contatto con se stessi,-0.192,0.6198,9,False
Non essere più la stessa persona,-0.134,0.7313,9,False
Vuoto interiore,-0.159,0.6828,9,False
Disconnessione da sé e dai propri pensieri,0.192,0.6198,9,False
Sensazione di non essere l'autore delle proprie azioni,-0.293,0.4444,9,False
Dubbio tra dire e pensare,0.151,0.6989,9,False
Guardarsi dall'esterno,-0.435,0.2418,9,False
Guardarsi da fuori dal corpo,-0.293,0.4444,9,False
Perdita di controllo del corpo,0.385,0.3063,9,False
