Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.243,0.4984,10,False
Parole lette da qualcun altro,-0.565,0.0885,10,False
Pensieri non propri,0.426,0.2202,10,False
Pensieri come scritti,-0.742,0.0141,10,True
Pensieri ripetuti o echeggianti,0.298,0.4032,10,False
Perdita di contatto con se stessi,0.03,0.9336,10,False
Non essere più la stessa persona,0.036,0.9203,10,False
Vuoto interiore,0.128,0.7253,10,False
Disconnessione da sé e dai propri pensieri,0.006,0.9867,10,False
Sensazione di non essere l'autore delle proprie azioni,-0.274,0.4444,10,False
Dubbio tra dire e pensare,-0.067,0.8544,10,False
Guardarsi dall'esterno,-0.608,0.0623,10,False
Guardarsi da fuori dal corpo,-0.596,0.0692,10,False
Perdita di controllo del corpo,-0.389,0.2665,10,False
