Variable,r,p_value,N,Significant
Pensieri generati da altri,0.35,0.265,12,False
Parole lette da qualcun altro,0.279,0.3796,12,False
Pensieri non propri,0.194,0.545,12,False
Pensieri come scritti,0.095,0.768,12,False
Pensieri ripetuti o echeggianti,0.428,0.1656,12,False
Perdita di contatto con se stessi,0.134,0.6774,12,False
Non essere più la stessa persona,-0.049,0.8786,12,False
Vuoto interiore,-0.014,0.9652,12,False
Disconnessione da sé e dai propri pensieri,0.095,0.768,12,False
Sensazione di non essere l'autore delle proprie azioni,0.06,0.8529,12,False
Dubbio tra dire e pensare,0.368,0.2399,12,False
Guardarsi dall'esterno,-0.025,0.9392,12,False
Guardarsi da fuori dal corpo,-0.237,0.4588,12,False
Perdita di controllo del corpo,0.445,0.1469,12,False
