Variable,r,p_value,N,Significant
Pensieri generati da altri,0.277,0.3839,12,False
Parole lette da qualcun altro,0.424,0.1698,12,False
Pensieri non propri,0.151,0.6403,12,False
Pensieri come scritti,0.011,0.9741,12,False
Pensieri ripetuti o echeggianti,0.242,0.4492,12,False
Perdita di contatto con se stessi,0.053,0.8712,12,False
Non essere più la stessa persona,-0.025,0.9397,12,False
Vuoto interiore,0.329,0.296,12,False
Disconnessione da sé e dai propri pensieri,0.224,0.4837,12,False
Sensazione di non essere l'autore delle proprie azioni,0.231,0.4697,12,False
Dubbio tra dire e pensare,0.315,0.3182,12,False
Guardarsi dall'esterno,0.053,0.8712,12,False
Guardarsi da fuori dal corpo,0.042,0.8968,12,False
Perdita di controllo del corpo,0.102,0.7534,12,False
