Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.007,0.9742,24,False
Parole lette da qualcun altro,0.182,0.3959,24,False
Pensieri non propri,-0.18,0.3994,24,False
Pensieri come scritti,-0.031,0.8857,24,False
Pensieri ripetuti o echeggianti,-0.354,0.0893,24,False
Perdita di contatto con se stessi,-0.138,0.5192,24,False
Non essere più la stessa persona,-0.051,0.8143,24,False
Vuoto interiore,-0.173,0.4194,24,False
Disconnessione da sé e dai propri pensieri,-0.123,0.5667,24,False
Sensazione di non essere l'autore delle proprie azioni,-0.093,0.6643,24,False
Dubbio tra dire e pensare,-0.102,0.6364,24,False
Guardarsi dall'esterno,0.183,0.3913,24,False
Guardarsi da fuori dal corpo,0.239,0.2604,24,False
Perdita di controllo del corpo,-0.105,0.6248,24,False
