Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.007,0.9682,32,False
Parole lette da qualcun altro,0.117,0.5236,32,False
Pensieri non propri,-0.144,0.431,32,False
Pensieri come scritti,-0.002,0.9928,32,False
Pensieri ripetuti o echeggianti,-0.145,0.4287,32,False
Perdita di contatto con se stessi,-0.129,0.4812,32,False
Non essere più la stessa persona,-0.038,0.8379,32,False
Vuoto interiore,0.008,0.9658,32,False
Disconnessione da sé e dai propri pensieri,0.221,0.2246,32,False
Sensazione di non essere l'autore delle proprie azioni,-0.221,0.2234,32,False
Dubbio tra dire e pensare,-0.296,0.0995,32,False
Guardarsi dall'esterno,-0.225,0.216,32,False
Guardarsi da fuori dal corpo,-0.038,0.8379,32,False
Perdita di controllo del corpo,-0.125,0.4971,32,False
