Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.075,0.7747,17,False
Parole lette da qualcun altro,0.03,0.9105,17,False
Pensieri non propri,0.122,0.6415,17,False
Pensieri come scritti,0.219,0.3985,17,False
Pensieri ripetuti o echeggianti,-0.06,0.8183,17,False
Perdita di contatto con se stessi,0.032,0.903,17,False
Non essere più la stessa persona,0.161,0.5367,17,False
Vuoto interiore,0.401,0.1107,17,False
Disconnessione da sé e dai propri pensieri,0.071,0.7856,17,False
Sensazione di non essere l'autore delle proprie azioni,0.065,0.8036,17,False
Dubbio tra dire e pensare,0.108,0.6792,17,False
Guardarsi dall'esterno,0.159,0.543,17,False
Guardarsi da fuori dal corpo,0.255,0.324,17,False
Perdita di controllo del corpo,-0.102,0.6966,17,False
