Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.031,0.9166,14,False
Parole lette da qualcun altro,0.165,0.5721,14,False
Pensieri non propri,0.223,0.4441,14,False
Pensieri come scritti,0.013,0.9642,14,False
Pensieri ripetuti o echeggianti,0.302,0.2938,14,False
Perdita di contatto con se stessi,0.481,0.0819,14,False
Non essere più la stessa persona,0.28,0.3322,14,False
Vuoto interiore,0.479,0.0835,14,False
Disconnessione da sé e dai propri pensieri,0.304,0.2902,14,False
Sensazione di non essere l'autore delle proprie azioni,0.24,0.4078,14,False
Dubbio tra dire e pensare,0.293,0.3089,14,False
Guardarsi dall'esterno,-0.154,0.5983,14,False
Guardarsi da fuori dal corpo,-0.071,0.8106,14,False
Perdita di controllo del corpo,0.324,0.2582,14,False
