Variable,r,p_value,N,Significant
Pensieri generati da altri,0.117,0.764,9,False
Parole lette da qualcun altro,-0.109,0.7806,9,False
Pensieri non propri,-0.201,0.6044,9,False
Pensieri come scritti,-0.435,0.2418,9,False
Pensieri ripetuti o echeggianti,0.192,0.6198,9,False
Perdita di contatto con se stessi,-0.527,0.1447,9,False
Non essere più la stessa persona,-0.351,0.3537,9,False
Vuoto interiore,-0.469,0.2032,9,False
Disconnessione da sé e dai propri pensieri,-0.067,0.8641,9,False
Sensazione di non essere l'autore delle proprie azioni,-0.552,0.1231,9,False
Dubbio tra dire e pensare,-0.025,0.9489,9,False
Guardarsi dall'esterno,-0.636,0.0656,9,False
Guardarsi da fuori dal corpo,-0.435,0.2418,9,False
Perdita di controllo del corpo,-0.477,0.1942,9,False
