Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.133,0.7324,9,False
Parole lette da qualcun altro,-0.2,0.6059,9,False
Pensieri non propri,-0.017,0.9661,9,False
Pensieri come scritti,-0.2,0.6059,9,False
Pensieri ripetuti o echeggianti,-0.167,0.6682,9,False
Perdita di contatto con se stessi,-0.183,0.6368,9,False
Non essere più la stessa persona,-0.083,0.8312,9,False
Vuoto interiore,-0.717,0.0298,9,True
Disconnessione da sé e dai propri pensieri,-0.25,0.5165,9,False
Sensazione di non essere l'autore delle proprie azioni,-0.383,0.3085,9,False
Dubbio tra dire e pensare,0.467,0.2054,9,False
Guardarsi dall'esterno,-0.1,0.798,9,False
Guardarsi da fuori dal corpo,-0.25,0.5165,9,False
Perdita di controllo del corpo,0.0,1.0,9,False
