Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.011,0.9741,12,False
Parole lette da qualcun altro,-0.186,0.5628,12,False
Pensieri non propri,-0.344,0.2738,12,False
Pensieri come scritti,-0.284,0.3706,12,False
Pensieri ripetuti o echeggianti,-0.505,0.0938,12,False
Perdita di contatto con se stessi,-0.488,0.1077,12,False
Non essere più la stessa persona,-0.825,0.001,12,True
Vuoto interiore,-0.018,0.9568,12,False
Disconnessione da sé e dai propri pensieri,-0.126,0.6957,12,False
Sensazione di non essere l'autore delle proprie azioni,-0.291,0.3584,12,False
Dubbio tra dire e pensare,-0.453,0.1395,12,False
Guardarsi dall'esterno,-0.277,0.3831,12,False
Guardarsi da fuori dal corpo,0.189,0.5553,12,False
Perdita di controllo del corpo,0.042,0.8966,12,False
