Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.244,0.4971,10,False
Parole lette da qualcun altro,-0.61,0.0612,10,False
Pensieri non propri,0.415,0.2335,10,False
Pensieri come scritti,-0.61,0.0612,10,False
Pensieri ripetuti o echeggianti,0.372,0.2899,10,False
Perdita di contatto con se stessi,-0.256,0.4751,10,False
Non essere più la stessa persona,-0.122,0.7372,10,False
Vuoto interiore,-0.073,0.8408,10,False
Disconnessione da sé e dai propri pensieri,-0.116,0.7499,10,False
Sensazione di non essere l'autore delle proprie azioni,-0.207,0.5655,10,False
Dubbio tra dire e pensare,-0.098,0.7886,10,False
Guardarsi dall'esterno,-0.39,0.2649,10,False
Guardarsi da fuori dal corpo,-0.36,0.3072,10,False
Perdita di controllo del corpo,-0.494,0.1468,10,False
