Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.154,0.6506,11,False
Parole lette da qualcun altro,-0.397,0.2262,11,False
Pensieri non propri,-0.383,0.2445,11,False
Pensieri come scritti,-0.252,0.4539,11,False
Pensieri ripetuti o echeggianti,-0.21,0.5347,11,False
Perdita di contatto con se stessi,-0.421,0.1976,11,False
Non essere più la stessa persona,-0.43,0.1867,11,False
Vuoto interiore,-0.538,0.0881,11,False
Disconnessione da sé e dai propri pensieri,-0.379,0.2508,11,False
Sensazione di non essere l'autore delle proprie azioni,-0.234,0.4891,11,False
Dubbio tra dire e pensare,-0.29,0.3873,11,False
Guardarsi dall'esterno,-0.229,0.4981,11,False
Guardarsi da fuori dal corpo,-0.753,0.0075,11,True
Perdita di controllo del corpo,0.005,0.9891,11,False
