Variable,r,p_value,N,Significant
Pensieri generati da altri,0.021,0.9483,12,False
Parole lette da qualcun altro,0.2,0.5339,12,False
Pensieri non propri,0.28,0.3777,12,False
Pensieri come scritti,-0.053,0.8712,12,False
Pensieri ripetuti o echeggianti,-0.025,0.9397,12,False
Perdita di contatto con se stessi,0.133,0.6801,12,False
Non essere più la stessa persona,-0.221,0.4907,12,False
Vuoto interiore,0.249,0.4357,12,False
Disconnessione da sé e dai propri pensieri,0.403,0.1942,12,False
Sensazione di non essere l'autore delle proprie azioni,-0.053,0.8712,12,False
Dubbio tra dire e pensare,0.172,0.5938,12,False
Guardarsi dall'esterno,0.287,0.3654,12,False
Guardarsi da fuori dal corpo,0.06,0.8542,12,False
Perdita di controllo del corpo,0.084,0.7951,12,False
