Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.001,0.996,32,False
Parole lette da qualcun altro,-0.16,0.383,32,False
Pensieri non propri,0.137,0.4559,32,False
Pensieri come scritti,-0.02,0.9126,32,False
Pensieri ripetuti o echeggianti,0.037,0.8426,32,False
Perdita di contatto con se stessi,0.068,0.7095,32,False
Non essere più la stessa persona,-0.115,0.5297,32,False
Vuoto interiore,0.059,0.7471,32,False
Disconnessione da sé e dai propri pensieri,0.281,0.1188,32,False
Sensazione di non essere l'autore delle proprie azioni,-0.118,0.5211,32,False
Dubbio tra dire e pensare,-0.119,0.5165,32,False
Guardarsi dall'esterno,-0.266,0.1404,32,False
Guardarsi da fuori dal corpo,-0.084,0.6479,32,False
Perdita di controllo del corpo,-0.136,0.4583,32,False
