Variable,r,p_value,N,Significant
Pensieri generati da altri,0.033,0.8778,24,False
Parole lette da qualcun altro,0.067,0.7551,24,False
Pensieri non propri,-0.016,0.9403,24,False
Pensieri come scritti,0.025,0.9066,24,False
Pensieri ripetuti o echeggianti,-0.14,0.5153,24,False
Perdita di contatto con se stessi,0.005,0.9822,24,False
Non essere più la stessa persona,0.248,0.2421,24,False
Vuoto interiore,0.184,0.3891,24,False
Disconnessione da sé e dai propri pensieri,0.055,0.7971,24,False
Sensazione di non essere l'autore delle proprie azioni,0.17,0.4279,24,False
Dubbio tra dire e pensare,0.12,0.5779,24,False
Guardarsi dall'esterno,0.044,0.8396,24,False
Guardarsi da fuori dal corpo,0.18,0.4006,24,False
Perdita di controllo del corpo,0.021,0.9242,24,False
