Variable,r,p_value,N,Significant
Pensieri generati da altri,0.162,0.3917,30,False
Parole lette da qualcun altro,0.171,0.3658,30,False
Pensieri non propri,-0.201,0.2866,30,False
Pensieri come scritti,-0.012,0.9495,30,False
Pensieri ripetuti o echeggianti,-0.155,0.4145,30,False
Perdita di contatto con se stessi,-0.144,0.4466,30,False
Non essere più la stessa persona,0.125,0.5115,30,False
Vuoto interiore,-0.112,0.5566,30,False
Disconnessione da sé e dai propri pensieri,0.116,0.5424,30,False
Sensazione di non essere l'autore delle proprie azioni,-0.093,0.6268,30,False
Dubbio tra dire e pensare,-0.246,0.1895,30,False
Guardarsi dall'esterno,-0.206,0.2752,30,False
Guardarsi da fuori dal corpo,0.098,0.6052,30,False
Perdita di controllo del corpo,-0.08,0.676,30,False
