Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.272,0.2901,17,False
Parole lette da qualcun altro,-0.142,0.5872,17,False
Pensieri non propri,-0.117,0.6549,17,False
Pensieri come scritti,-0.002,0.9924,17,False
Pensieri ripetuti o echeggianti,0.088,0.7361,17,False
Perdita di contatto con se stessi,-0.368,0.1459,17,False
Non essere più la stessa persona,-0.377,0.1359,17,False
Vuoto interiore,-0.32,0.211,17,False
Disconnessione da sé e dai propri pensieri,-0.034,0.8982,17,False
Sensazione di non essere l'autore delle proprie azioni,0.091,0.7287,17,False
Dubbio tra dire e pensare,-0.326,0.2017,17,False
Guardarsi dall'esterno,-0.317,0.2148,17,False
Guardarsi da fuori dal corpo,-0.284,0.27,17,False
Perdita di controllo del corpo,-0.422,0.0918,17,False
