Variable,r,p_value,N,Significant
Pensieri generati da altri,0.522,0.0461,15,True
Parole lette da qualcun altro,-0.072,0.7989,15,False
Pensieri non propri,0.613,0.015,15,True
Pensieri come scritti,0.504,0.0556,15,False
Pensieri ripetuti o echeggianti,0.419,0.12,15,False
Perdita di contatto con se stessi,0.371,0.174,15,False
Non essere più la stessa persona,-0.036,0.8987,15,False
Vuoto interiore,-0.072,0.7989,15,False
Disconnessione da sé e dai propri pensieri,-0.164,0.56,15,False
Sensazione di non essere l'autore delle proprie azioni,0.383,0.1587,15,False
Dubbio tra dire e pensare,0.543,0.0364,15,True
Guardarsi dall'esterno,0.415,0.1235,15,False
Guardarsi da fuori dal corpo,0.147,0.5999,15,False
Perdita di controllo del corpo,0.39,0.1504,15,False
