Variable,r,p_value,N,Significant
Pensieri generati da altri,0.112,0.7287,12,False
Parole lette da qualcun altro,-0.259,0.4159,12,False
Pensieri non propri,-0.032,0.9225,12,False
Pensieri come scritti,-0.277,0.3839,12,False
Pensieri ripetuti o echeggianti,0.025,0.9397,12,False
Perdita di contatto con se stessi,0.084,0.7951,12,False
Non essere più la stessa persona,0.07,0.8287,12,False
Vuoto interiore,0.081,0.8035,12,False
Disconnessione da sé e dai propri pensieri,-0.343,0.2747,12,False
Sensazione di non essere l'autore delle proprie azioni,0.126,0.6962,12,False
Dubbio tra dire e pensare,-0.098,0.7617,12,False
Guardarsi dall'esterno,-0.123,0.7043,12,False
Guardarsi da fuori dal corpo,0.098,0.7617,12,False
Perdita di controllo del corpo,-0.203,0.5266,12,False
