Variable,r,p_value,N,Significant
Pensieri generati da altri,0.334,0.3153,11,False
Parole lette da qualcun altro,0.229,0.4985,11,False
Pensieri non propri,0.073,0.8306,11,False
Pensieri come scritti,0.421,0.1972,11,False
Pensieri ripetuti o echeggianti,0.133,0.6973,11,False
Perdita di contatto con se stessi,0.192,0.5712,11,False
Non essere più la stessa persona,-0.087,0.7993,11,False
Vuoto interiore,0.33,0.3224,11,False
Disconnessione da sé e dai propri pensieri,-0.59,0.0558,11,False
Sensazione di non essere l'autore delle proprie azioni,0.114,0.7376,11,False
Dubbio tra dire e pensare,0.114,0.7376,11,False
Guardarsi dall'esterno,0.352,0.2878,11,False
Guardarsi da fuori dal corpo,0.128,0.7073,11,False
Perdita di controllo del corpo,0.215,0.5253,11,False
