Variable,r,p_value,N,Significant
Pensieri generati da altri,0.011,0.9529,33,False
Parole lette da qualcun altro,-0.226,0.2054,33,False
Pensieri non propri,0.12,0.5062,33,False
Pensieri come scritti,-0.043,0.8122,33,False
Pensieri ripetuti o echeggianti,0.117,0.5164,33,False
Perdita di contatto con se stessi,0.103,0.5683,33,False
Non essere più la stessa persona,-0.271,0.1277,33,False
Vuoto interiore,-0.06,0.7413,33,False
Disconnessione da sé e dai propri pensieri,0.168,0.3507,33,False
Sensazione di non essere l'autore delle proprie azioni,-0.242,0.1748,33,False
Dubbio tra dire e pensare,-0.349,0.0462,33,True
Guardarsi dall'esterno,-0.262,0.1409,33,False
Guardarsi da fuori dal corpo,-0.178,0.3222,33,False
Perdita di controllo del corpo,-0.018,0.9198,33,False
