Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.334,0.1102,24,False
Parole lette da qualcun altro,-0.132,0.5399,24,False
Pensieri non propri,-0.385,0.0631,24,False
Pensieri come scritti,-0.266,0.2094,24,False
Pensieri ripetuti o echeggianti,-0.395,0.056,24,False
Perdita di contatto con se stessi,-0.146,0.4973,24,False
Non essere più la stessa persona,-0.031,0.8871,24,False
Vuoto interiore,0.054,0.8029,24,False
Disconnessione da sé e dai propri pensieri,0.02,0.9257,24,False
Sensazione di non essere l'autore delle proprie azioni,-0.104,0.6271,24,False
Dubbio tra dire e pensare,-0.275,0.1942,24,False
Guardarsi dall'esterno,-0.147,0.4921,24,False
Guardarsi da fuori dal corpo,0.107,0.6184,24,False
Perdita di controllo del corpo,0.035,0.8727,24,False
