Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.393,0.119,17,False
Parole lette da qualcun altro,-0.091,0.7289,17,False
Pensieri non propri,-0.158,0.544,17,False
Pensieri come scritti,-0.028,0.9144,17,False
Pensieri ripetuti o echeggianti,-0.079,0.7645,17,False
Perdita di contatto con se stessi,-0.271,0.2924,17,False
Non essere più la stessa persona,-0.011,0.9664,17,False
Vuoto interiore,0.074,0.7789,17,False
Disconnessione da sé e dai propri pensieri,0.163,0.5314,17,False
Sensazione di non essere l'autore delle proprie azioni,-0.096,0.7147,17,False
Dubbio tra dire e pensare,-0.481,0.0506,17,False
Guardarsi dall'esterno,-0.163,0.5314,17,False
Guardarsi da fuori dal corpo,-0.005,0.9851,17,False
Perdita di controllo del corpo,-0.492,0.0448,17,True
