Variable,r,p_value,N,Significant
Pensieri generati da altri,0.12,0.659,16,False
Parole lette da qualcun altro,-0.278,0.2977,16,False
Pensieri non propri,0.315,0.2353,16,False
Pensieri come scritti,0.316,0.233,16,False
Pensieri ripetuti o echeggianti,0.164,0.544,16,False
Perdita di contatto con se stessi,0.142,0.6004,16,False
Non essere più la stessa persona,-0.261,0.328,16,False
Vuoto interiore,-0.16,0.5551,16,False
Disconnessione da sé e dai propri pensieri,0.049,0.8577,16,False
Sensazione di non essere l'autore delle proprie azioni,0.09,0.74,16,False
Dubbio tra dire e pensare,0.217,0.4192,16,False
Guardarsi dall'esterno,0.304,0.2519,16,False
Guardarsi da fuori dal corpo,-0.111,0.6829,16,False
Perdita di controllo del corpo,0.124,0.6471,16,False
