Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.369,0.2645,11,False
Parole lette da qualcun altro,-0.332,0.3188,11,False
Pensieri non propri,-0.424,0.1937,11,False
Pensieri come scritti,-0.097,0.7771,11,False
Pensieri ripetuti o echeggianti,-0.613,0.0449,11,True
Perdita di contatto con se stessi,-0.29,0.3864,11,False
Non essere più la stessa persona,-0.341,0.3047,11,False
Vuoto interiore,-0.018,0.9571,11,False
Disconnessione da sé e dai propri pensieri,-0.198,0.5591,11,False
Sensazione di non essere l'autore delle proprie azioni,-0.452,0.1632,11,False
Dubbio tra dire e pensare,-0.41,0.2102,11,False
Guardarsi dall'esterno,-0.032,0.925,11,False
Guardarsi da fuori dal corpo,-0.244,0.4692,11,False
Perdita di controllo del corpo,-0.272,0.4186,11,False
