Variable,r,p_value,N,Significant
Pensieri generati da altri,0.093,0.7418,15,False
Parole lette da qualcun altro,-0.234,0.401,15,False
Pensieri non propri,0.223,0.4235,15,False
Pensieri come scritti,-0.055,0.8445,15,False
Pensieri ripetuti o echeggianti,-0.004,0.9899,15,False
Perdita di contatto con se stessi,0.291,0.2921,15,False
Non essere più la stessa persona,0.15,0.5933,15,False
Vuoto interiore,-0.011,0.9697,15,False
Disconnessione da sé e dai propri pensieri,0.434,0.1057,15,False
Sensazione di non essere l'autore delle proprie azioni,0.576,0.0248,15,True
Dubbio tra dire e pensare,0.517,0.0487,15,True
Guardarsi dall'esterno,0.365,0.1815,15,False
Guardarsi da fuori dal corpo,0.161,0.5668,15,False
Perdita di controllo del corpo,0.576,0.0248,15,True
