Variable,r,p_value,N,Significant
Pensieri generati da altri,0.122,0.6924,13,False
Parole lette da qualcun altro,-0.232,0.4455,13,False
Pensieri non propri,-0.155,0.6138,13,False
Pensieri come scritti,0.028,0.9286,13,False
Pensieri ripetuti o echeggianti,-0.171,0.5758,13,False
Perdita di contatto con se stessi,-0.006,0.9857,13,False
Non essere più la stessa persona,-0.425,0.1473,13,False
Vuoto interiore,0.039,0.9002,13,False
Disconnessione da sé e dai propri pensieri,0.326,0.2771,13,False
Sensazione di non essere l'autore delle proprie azioni,-0.088,0.774,13,False
Dubbio tra dire e pensare,-0.066,0.8296,13,False
Guardarsi dall'esterno,-0.055,0.8577,13,False
Guardarsi da fuori dal corpo,0.122,0.6924,13,False
Perdita di controllo del corpo,0.138,0.6527,13,False
