Variable,r,p_value,N,Significant
Pensieri generati da altri,0.077,0.8119,12,False
Parole lette da qualcun altro,-0.056,0.8627,12,False
Pensieri non propri,0.543,0.0682,12,False
Pensieri come scritti,0.217,0.4978,12,False
Pensieri ripetuti o echeggianti,0.126,0.6962,12,False
Perdita di contatto con se stessi,0.007,0.9828,12,False
Non essere più la stessa persona,-0.042,0.8968,12,False
Vuoto interiore,-0.231,0.4697,12,False
Disconnessione da sé e dai propri pensieri,0.34,0.2799,12,False
Sensazione di non essere l'autore delle proprie azioni,-0.126,0.6962,12,False
Dubbio tra dire e pensare,-0.07,0.8287,12,False
Guardarsi dall'esterno,-0.095,0.77,12,False
Guardarsi da fuori dal corpo,0.116,0.7206,12,False
Perdita di controllo del corpo,-0.095,0.77,12,False
