Variable,r,p_value,N,Significant
Pensieri generati da altri,0.217,0.4986,12,False
Parole lette da qualcun altro,0.021,0.9484,12,False
Pensieri non propri,-0.112,0.7292,12,False
Pensieri come scritti,-0.119,0.7129,12,False
Pensieri ripetuti o echeggianti,0.098,0.7621,12,False
Perdita di contatto con se stessi,-0.301,0.3423,12,False
Non essere più la stessa persona,-0.385,0.217,12,False
Vuoto interiore,-0.371,0.2356,12,False
Disconnessione da sé e dai propri pensieri,-0.14,0.6646,12,False
Sensazione di non essere l'autore delle proprie azioni,-0.259,0.4168,12,False
Dubbio tra dire e pensare,-0.021,0.9484,12,False
Guardarsi dall'esterno,0.175,0.5868,12,False
Guardarsi da fuori dal corpo,-0.476,0.1182,12,False
Perdita di controllo del corpo,0.294,0.3541,12,False
