Variable,r,p_value,N,Significant
Pensieri generati da altri,0.14,0.6646,12,False
Parole lette da qualcun altro,0.42,0.1745,12,False
Pensieri non propri,0.14,0.6646,12,False
Pensieri come scritti,0.161,0.6175,12,False
Pensieri ripetuti o echeggianti,0.294,0.3541,12,False
Perdita di contatto con se stessi,0.336,0.2861,12,False
Non essere più la stessa persona,0.133,0.6806,12,False
Vuoto interiore,0.28,0.3786,12,False
Disconnessione da sé e dai propri pensieri,0.329,0.2969,12,False
Sensazione di non essere l'autore delle proprie azioni,0.189,0.5567,12,False
Dubbio tra dire e pensare,0.238,0.4568,12,False
Guardarsi dall'esterno,0.112,0.7292,12,False
Guardarsi da fuori dal corpo,0.147,0.6488,12,False
Perdita di controllo del corpo,0.315,0.3191,12,False
