Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.098,0.5872,33,False
Parole lette da qualcun altro,-0.113,0.5302,33,False
Pensieri non propri,0.222,0.2153,33,False
Pensieri come scritti,-0.074,0.6832,33,False
Pensieri ripetuti o echeggianti,-0.127,0.4806,33,False
Perdita di contatto con se stessi,0.185,0.3038,33,False
Non essere più la stessa persona,-0.159,0.3774,33,False
Vuoto interiore,0.05,0.7807,33,False
Disconnessione da sé e dai propri pensieri,0.171,0.3427,33,False
Sensazione di non essere l'autore delle proprie azioni,-0.056,0.7588,33,False
Dubbio tra dire e pensare,-0.262,0.1415,33,False
Guardarsi dall'esterno,-0.238,0.1817,33,False
Guardarsi da fuori dal corpo,-0.085,0.6394,33,False
Perdita di controllo del corpo,0.046,0.7978,33,False
