Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.032,0.8623,32,False
Parole lette da qualcun altro,-0.022,0.9064,32,False
Pensieri non propri,-0.188,0.303,32,False
Pensieri come scritti,-0.001,0.9976,32,False
Pensieri ripetuti o echeggianti,-0.174,0.3407,32,False
Perdita di contatto con se stessi,-0.077,0.6744,32,False
Non essere più la stessa persona,-0.015,0.9349,32,False
Vuoto interiore,-0.08,0.6649,32,False
Disconnessione da sé e dai propri pensieri,0.103,0.5738,32,False
Sensazione di non essere l'autore delle proprie azioni,-0.218,0.2313,32,False
Dubbio tra dire e pensare,-0.31,0.0838,32,False
Guardarsi dall'esterno,-0.231,0.2031,32,False
Guardarsi da fuori dal corpo,-0.09,0.6254,32,False
Perdita di controllo del corpo,-0.136,0.4588,32,False
