Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.234,0.3656,17,False
Parole lette da qualcun altro,-0.071,0.7862,17,False
Pensieri non propri,-0.08,0.7611,17,False
Pensieri come scritti,0.082,0.7539,17,False
Pensieri ripetuti o echeggianti,0.091,0.7291,17,False
Perdita di contatto con se stessi,-0.091,0.7291,17,False
Non essere più la stessa persona,-0.047,0.859,17,False
Vuoto interiore,0.161,0.538,17,False
Disconnessione da sé e dai propri pensieri,0.011,0.9665,17,False
Sensazione di non essere l'autore delle proprie azioni,-0.133,0.6122,17,False
Dubbio tra dire e pensare,-0.101,0.701,17,False
Guardarsi dall'esterno,-0.013,0.959,17,False
Guardarsi da fuori dal corpo,0.19,0.465,17,False
Perdita di controllo del corpo,-0.376,0.1364,17,False
