Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.05,0.8834,11,False
Parole lette da qualcun altro,0.082,0.8101,11,False
Pensieri non propri,-0.078,0.8205,11,False
Pensieri come scritti,0.311,0.3527,11,False
Pensieri ripetuti o echeggianti,-0.228,0.4995,11,False
Perdita di contatto con se stessi,-0.032,0.9257,11,False
Non essere più la stessa persona,-0.055,0.8729,11,False
Vuoto interiore,0.324,0.3307,11,False
Disconnessione da sé e dai propri pensieri,-0.329,0.3236,11,False
Sensazione di non essere l'autore delle proprie azioni,-0.005,0.9894,11,False
Dubbio tra dire e pensare,0.055,0.8729,11,False
Guardarsi dall'esterno,0.352,0.289,11,False
Guardarsi da fuori dal corpo,0.215,0.5263,11,False
Perdita di controllo del corpo,0.205,0.5444,11,False
