Variable,r,p_value,N,Significant
Pensieri generati da altri,0.077,0.7849,15,False
Parole lette da qualcun altro,-0.099,0.7267,15,False
Pensieri non propri,0.0,1.0,15,False
Pensieri come scritti,0.208,0.4572,15,False
Pensieri ripetuti o echeggianti,0.213,0.4454,15,False
Perdita di contatto con se stessi,0.412,0.1268,15,False
Non essere più la stessa persona,0.056,0.8441,15,False
Vuoto interiore,-0.013,0.9646,15,False
Disconnessione da sé e dai propri pensieri,0.36,0.1872,15,False
Sensazione di non essere l'autore delle proprie azioni,0.419,0.1197,15,False
Dubbio tra dire e pensare,0.28,0.3129,15,False
Guardarsi dall'esterno,0.534,0.0403,15,True
Guardarsi da fuori dal corpo,0.211,0.4493,15,False
Perdita di controllo del corpo,0.615,0.0147,15,True
