Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.877,0.0019,9,True
Parole lette da qualcun altro,-0.962,0.0,9,True
Pensieri non propri,-0.519,0.152,9,False
Pensieri come scritti,-0.962,0.0,9,True
Pensieri ripetuti o echeggianti,-0.928,0.0003,9,True
Perdita di contatto con se stessi,-0.792,0.011,9,True
Non essere più la stessa persona,-0.451,0.2229,9,False
Vuoto interiore,-0.494,0.1768,9,False
Disconnessione da sé e dai propri pensieri,0.315,0.4091,9,False
Sensazione di non essere l'autore delle proprie azioni,-0.553,0.1222,9,False
Dubbio tra dire e pensare,-0.519,0.152,9,False
Guardarsi dall'esterno,-0.953,0.0001,9,True
Guardarsi da fuori dal corpo,-0.451,0.2229,9,False
Perdita di controllo del corpo,-0.528,0.1442,9,False
