Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.249,0.4121,13,False
Parole lette da qualcun altro,-0.166,0.5879,13,False
Pensieri non propri,-0.556,0.0485,13,True
Pensieri come scritti,-0.152,0.6197,13,False
Pensieri ripetuti o echeggianti,-0.487,0.0915,13,False
Perdita di contatto con se stessi,-0.357,0.2313,13,False
Non essere più la stessa persona,-0.55,0.0512,13,False
Vuoto interiore,0.033,0.9143,13,False
Disconnessione da sé e dai propri pensieri,0.047,0.8787,13,False
Sensazione di non essere l'autore delle proprie azioni,-0.573,0.0408,13,True
Dubbio tra dire e pensare,-0.705,0.0071,13,True
Guardarsi dall'esterno,-0.373,0.2088,13,False
Guardarsi da fuori dal corpo,0.18,0.5567,13,False
Perdita di controllo del corpo,-0.257,0.3961,13,False
