Variable,r,p_value,N,Significant
Pensieri generati da altri,0.025,0.9357,13,False
Parole lette da qualcun altro,-0.271,0.3703,13,False
Pensieri non propri,-0.351,0.2392,13,False
Pensieri come scritti,-0.044,0.8858,13,False
Pensieri ripetuti o echeggianti,-0.194,0.5262,13,False
Perdita di contatto con se stessi,-0.066,0.8294,13,False
Non essere più la stessa persona,-0.235,0.4393,13,False
Vuoto interiore,-0.019,0.9499,13,False
Disconnessione da sé e dai propri pensieri,0.136,0.6588,13,False
Sensazione di non essere l'autore delle proprie azioni,-0.23,0.4505,13,False
Dubbio tra dire e pensare,-0.302,0.3167,13,False
Guardarsi dall'esterno,-0.224,0.4618,13,False
Guardarsi da fuori dal corpo,-0.047,0.8787,13,False
Perdita di controllo del corpo,-0.075,0.8084,13,False
