Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.021,0.9483,12,False
Parole lette da qualcun altro,-0.084,0.7951,12,False
Pensieri non propri,-0.021,0.9483,12,False
Pensieri come scritti,-0.109,0.7369,12,False
Pensieri ripetuti o echeggianti,0.102,0.7534,12,False
Perdita di contatto con se stessi,-0.189,0.556,12,False
Non essere più la stessa persona,-0.112,0.7287,12,False
Vuoto interiore,-0.231,0.4697,12,False
Disconnessione da sé e dai propri pensieri,-0.28,0.3777,12,False
Sensazione di non essere l'autore delle proprie azioni,-0.151,0.6403,12,False
Dubbio tra dire e pensare,-0.182,0.571,12,False
Guardarsi dall'esterno,0.014,0.9655,12,False
Guardarsi da fuori dal corpo,-0.186,0.5635,12,False
Perdita di controllo del corpo,0.34,0.2799,12,False
