Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.007,0.9682,33,False
Parole lette da qualcun altro,-0.205,0.2523,33,False
Pensieri non propri,0.106,0.5585,33,False
Pensieri come scritti,-0.088,0.6249,33,False
Pensieri ripetuti o echeggianti,0.051,0.7782,33,False
Perdita di contatto con se stessi,0.116,0.5202,33,False
Non essere più la stessa persona,-0.188,0.2953,33,False
Vuoto interiore,-0.032,0.8589,33,False
Disconnessione da sé e dai propri pensieri,0.126,0.485,33,False
Sensazione di non essere l'autore delle proprie azioni,-0.271,0.1275,33,False
Dubbio tra dire e pensare,-0.392,0.0239,33,True
Guardarsi dall'esterno,-0.215,0.2289,33,False
Guardarsi da fuori dal corpo,-0.113,0.5312,33,False
Perdita di controllo del corpo,-0.072,0.6887,33,False
