Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.355,0.0887,24,False
Parole lette da qualcun altro,-0.133,0.5345,24,False
Pensieri non propri,-0.322,0.1247,24,False
Pensieri come scritti,-0.278,0.1891,24,False
Pensieri ripetuti o echeggianti,-0.366,0.0783,24,False
Perdita di contatto con se stessi,-0.138,0.5197,24,False
Non essere più la stessa persona,-0.011,0.958,24,False
Vuoto interiore,0.087,0.6861,24,False
Disconnessione da sé e dai propri pensieri,0.099,0.646,24,False
Sensazione di non essere l'autore delle proprie azioni,-0.082,0.7026,24,False
Dubbio tra dire e pensare,-0.276,0.1913,24,False
Guardarsi dall'esterno,-0.121,0.5744,24,False
Guardarsi da fuori dal corpo,0.016,0.9418,24,False
Perdita di controllo del corpo,0.026,0.9048,24,False
