Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.182,0.32,32,False
Parole lette da qualcun altro,-0.434,0.0131,32,True
Pensieri non propri,-0.333,0.0629,32,False
Pensieri come scritti,-0.238,0.1892,32,False
Pensieri ripetuti o echeggianti,-0.415,0.0181,32,True
Perdita di contatto con se stessi,-0.26,0.1499,32,False
Non essere più la stessa persona,-0.088,0.6323,32,False
Vuoto interiore,-0.191,0.2938,32,False
Disconnessione da sé e dai propri pensieri,-0.262,0.1476,32,False
Sensazione di non essere l'autore delle proprie azioni,-0.294,0.1025,32,False
Dubbio tra dire e pensare,-0.437,0.0124,32,True
Guardarsi dall'esterno,-0.16,0.3827,32,False
Guardarsi da fuori dal corpo,-0.104,0.572,32,False
Perdita di controllo del corpo,-0.338,0.0584,32,False
