Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.47,0.0572,17,False
Parole lette da qualcun altro,-0.198,0.4464,17,False
Pensieri non propri,-0.181,0.4877,17,False
Pensieri come scritti,-0.049,0.8513,17,False
Pensieri ripetuti o echeggianti,-0.106,0.6863,17,False
Perdita di contatto con se stessi,-0.304,0.2361,17,False
Non essere più la stessa persona,-0.049,0.8513,17,False
Vuoto interiore,-0.014,0.9589,17,False
Disconnessione da sé e dai propri pensieri,0.15,0.5656,17,False
Sensazione di non essere l'autore delle proprie azioni,-0.216,0.404,17,False
Dubbio tra dire e pensare,-0.562,0.0189,17,True
Guardarsi dall'esterno,-0.171,0.512,17,False
Guardarsi da fuori dal corpo,-0.087,0.7391,17,False
Perdita di controllo del corpo,-0.574,0.016,17,True
