Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.154,0.5683,16,False
Parole lette da qualcun altro,-0.54,0.0308,16,True
Pensieri non propri,-0.012,0.9652,16,False
Pensieri come scritti,-0.086,0.7513,16,False
Pensieri ripetuti o echeggianti,-0.233,0.3853,16,False
Perdita di contatto con se stessi,-0.082,0.7638,16,False
Non essere più la stessa persona,-0.479,0.0603,16,False
Vuoto interiore,-0.119,0.6615,16,False
Disconnessione da sé e dai propri pensieri,0.199,0.4604,16,False
Sensazione di non essere l'autore delle proprie azioni,-0.181,0.5023,16,False
Dubbio tra dire e pensare,-0.15,0.5796,16,False
Guardarsi dall'esterno,-0.059,0.8272,16,False
Guardarsi da fuori dal corpo,-0.316,0.2331,16,False
Perdita di controllo del corpo,-0.206,0.4435,16,False
