Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.562,0.0365,14,True
Parole lette da qualcun altro,-0.294,0.3072,14,False
Pensieri non propri,-0.434,0.1214,14,False
Pensieri come scritti,-0.383,0.1768,14,False
Pensieri ripetuti o echeggianti,-0.299,0.2996,14,False
Perdita di contatto con se stessi,-0.082,0.7809,14,False
Non essere più la stessa persona,-0.431,0.1235,14,False
Vuoto interiore,-0.17,0.5604,14,False
Disconnessione da sé e dai propri pensieri,0.084,0.7751,14,False
Sensazione di non essere l'autore delle proprie azioni,-0.425,0.13,14,False
Dubbio tra dire e pensare,-0.531,0.0507,14,False
Guardarsi dall'esterno,-0.48,0.0823,14,False
Guardarsi da fuori dal corpo,-0.308,0.2848,14,False
Perdita di controllo del corpo,-0.212,0.466,14,False
