Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.194,0.5457,12,False
Parole lette da qualcun altro,-0.533,0.0746,12,False
Pensieri non propri,-0.247,0.4391,12,False
Pensieri come scritti,-0.448,0.1441,12,False
Pensieri ripetuti o echeggianti,-0.388,0.2126,12,False
Perdita di contatto con se stessi,0.021,0.9479,12,False
Non essere più la stessa persona,-0.141,0.6618,12,False
Vuoto interiore,-0.215,0.5018,12,False
Disconnessione da sé e dai propri pensieri,-0.229,0.4735,12,False
Sensazione di non essere l'autore delle proprie azioni,-0.229,0.4735,12,False
Dubbio tra dire e pensare,-0.131,0.686,12,False
Guardarsi dall'esterno,-0.346,0.2711,12,False
Guardarsi da fuori dal corpo,-0.3,0.3437,12,False
Perdita di controllo del corpo,-0.54,0.0701,12,False
