Variable,r,p_value,N,Significant
Pensieri generati da altri,0.033,0.9319,9,False
Parole lette da qualcun altro,-0.084,0.8305,9,False
Pensieri non propri,0.05,0.8979,9,False
Pensieri come scritti,-0.477,0.1942,9,False
Pensieri ripetuti o echeggianti,-0.343,0.366,9,False
Perdita di contatto con se stessi,-0.418,0.2624,9,False
Non essere più la stessa persona,-0.519,0.1524,9,False
Vuoto interiore,-0.402,0.2839,9,False
Disconnessione da sé e dai propri pensieri,0.109,0.7806,9,False
Sensazione di non essere l'autore delle proprie azioni,-0.711,0.0317,9,True
Dubbio tra dire e pensare,-0.377,0.3178,9,False
Guardarsi dall'esterno,-0.276,0.472,9,False
Guardarsi da fuori dal corpo,-0.218,0.5739,9,False
Perdita di controllo del corpo,0.218,0.5739,9,False
