Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.303,0.4288,9,False
Parole lette da qualcun altro,-0.378,0.3156,9,False
Pensieri non propri,-0.118,0.7631,9,False
Pensieri come scritti,-0.378,0.3156,9,False
Pensieri ripetuti o echeggianti,-0.353,0.3515,9,False
Perdita di contatto con se stessi,-0.395,0.2928,9,False
Non essere più la stessa persona,-0.235,0.5422,9,False
Vuoto interiore,-0.857,0.0031,9,True
Disconnessione da sé e dai propri pensieri,-0.378,0.3156,9,False
Sensazione di non essere l'autore delle proprie azioni,-0.546,0.1281,9,False
Dubbio tra dire e pensare,0.261,0.4984,9,False
Guardarsi dall'esterno,-0.252,0.5128,9,False
Guardarsi da fuori dal corpo,-0.345,0.3639,9,False
Perdita di controllo del corpo,-0.21,0.5874,9,False
