Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.232,0.4455,13,False
Parole lette da qualcun altro,-0.127,0.6791,13,False
Pensieri non propri,-0.398,0.1783,13,False
Pensieri come scritti,-0.674,0.0115,13,True
Pensieri ripetuti o echeggianti,-0.431,0.1415,13,False
Perdita di contatto con se stessi,-0.773,0.0019,13,True
Non essere più la stessa persona,-0.232,0.4455,13,False
Vuoto interiore,-0.072,0.8156,13,False
Disconnessione da sé e dai propri pensieri,-0.514,0.0725,13,False
Sensazione di non essere l'autore delle proprie azioni,-0.044,0.886,13,False
Dubbio tra dire e pensare,-0.42,0.1532,13,False
Guardarsi dall'esterno,-0.309,0.3036,13,False
Guardarsi da fuori dal corpo,-0.072,0.8156,13,False
Perdita di controllo del corpo,-0.431,0.1415,13,False
