Variable,r,p_value,N,Significant
Pensieri generati da altri,0.238,0.4332,13,False
Parole lette da qualcun altro,0.194,0.5256,13,False
Pensieri non propri,0.283,0.3496,13,False
Pensieri come scritti,0.069,0.8221,13,False
Pensieri ripetuti o echeggianti,0.238,0.4332,13,False
Perdita di contatto con se stessi,0.352,0.2385,13,False
Non essere più la stessa persona,0.003,0.9928,13,False
Vuoto interiore,0.197,0.5196,13,False
Disconnessione da sé e dai propri pensieri,0.23,0.4498,13,False
Sensazione di non essere l'autore delle proprie azioni,0.307,0.3068,13,False
Dubbio tra dire e pensare,0.091,0.7665,13,False
Guardarsi dall'esterno,0.341,0.2546,13,False
Guardarsi da fuori dal corpo,0.366,0.2192,13,False
Perdita di controllo del corpo,0.357,0.2306,13,False
