Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.388,0.2126,12,False
Parole lette da qualcun altro,-0.282,0.3742,12,False
Pensieri non propri,-0.272,0.3931,12,False
Pensieri come scritti,-0.166,0.6066,12,False
Pensieri ripetuti o echeggianti,-0.046,0.8875,12,False
Perdita di contatto con se stessi,-0.339,0.2816,12,False
Non essere più la stessa persona,-0.19,0.5532,12,False
Vuoto interiore,-0.335,0.287,12,False
Disconnessione da sé e dai propri pensieri,-0.346,0.2711,12,False
Sensazione di non essere l'autore delle proprie azioni,-0.187,0.5607,12,False
Dubbio tra dire e pensare,-0.046,0.8875,12,False
Guardarsi dall'esterno,-0.261,0.4125,12,False
Guardarsi da fuori dal corpo,-0.063,0.8446,12,False
Perdita di controllo del corpo,-0.205,0.5236,12,False
