Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.172,0.5925,12,False
Parole lette da qualcun altro,-0.039,0.905,12,False
Pensieri non propri,0.323,0.3052,12,False
Pensieri come scritti,-0.443,0.1493,12,False
Pensieri ripetuti o echeggianti,-0.13,0.6871,12,False
Perdita di contatto con se stessi,-0.102,0.7526,12,False
Non essere più la stessa persona,-0.306,0.3337,12,False
Vuoto interiore,0.257,0.4208,12,False
Disconnessione da sé e dai propri pensieri,0.703,0.0108,12,True
Sensazione di non essere l'autore delle proprie azioni,0.011,0.9741,12,False
Dubbio tra dire e pensare,0.021,0.9481,12,False
Guardarsi dall'esterno,-0.211,0.5106,12,False
Guardarsi da fuori dal corpo,-0.337,0.2834,12,False
Perdita di controllo del corpo,-0.341,0.2781,12,False
