Variable,r,p_value,N,Significant
Pensieri generati da altri,0.111,0.5368,33,False
Parole lette da qualcun altro,-0.02,0.913,33,False
Pensieri non propri,0.227,0.2046,33,False
Pensieri come scritti,0.026,0.8851,33,False
Pensieri ripetuti o echeggianti,0.058,0.7478,33,False
Perdita di contatto con se stessi,0.168,0.3496,33,False
Non essere più la stessa persona,0.165,0.3584,33,False
Vuoto interiore,0.247,0.1659,33,False
Disconnessione da sé e dai propri pensieri,0.281,0.1127,33,False
Sensazione di non essere l'autore delle proprie azioni,0.106,0.5579,33,False
Dubbio tra dire e pensare,0.098,0.5858,33,False
Guardarsi dall'esterno,0.023,0.9005,33,False
Guardarsi da fuori dal corpo,0.108,0.551,33,False
Perdita di controllo del corpo,-0.175,0.3304,33,False
