Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.09,0.6767,24,False
Parole lette da qualcun altro,-0.15,0.485,24,False
Pensieri non propri,0.294,0.1629,24,False
Pensieri come scritti,-0.149,0.4863,24,False
Pensieri ripetuti o echeggianti,-0.047,0.828,24,False
Perdita di contatto con se stessi,0.105,0.6237,24,False
Non essere più la stessa persona,0.227,0.2857,24,False
Vuoto interiore,0.268,0.2049,24,False
Disconnessione da sé e dai propri pensieri,0.095,0.6603,24,False
Sensazione di non essere l'autore delle proprie azioni,0.282,0.1813,24,False
Dubbio tra dire e pensare,0.216,0.3102,24,False
Guardarsi dall'esterno,0.031,0.8854,24,False
Guardarsi da fuori dal corpo,0.2,0.3476,24,False
Perdita di controllo del corpo,0.056,0.7948,24,False
