Variable,r,p_value,N,Significant
Pensieri generati da altri,0.315,0.0787,32,False
Parole lette da qualcun altro,0.271,0.1329,32,False
Pensieri non propri,-0.168,0.3572,32,False
Pensieri come scritti,-0.167,0.361,32,False
Pensieri ripetuti o echeggianti,-0.03,0.8698,32,False
Perdita di contatto con se stessi,0.01,0.9586,32,False
Non essere più la stessa persona,0.04,0.8275,32,False
Vuoto interiore,-0.08,0.6627,32,False
Disconnessione da sé e dai propri pensieri,-0.014,0.9379,32,False
Sensazione di non essere l'autore delle proprie azioni,0.021,0.9093,32,False
Dubbio tra dire e pensare,0.026,0.8887,32,False
Guardarsi dall'esterno,0.051,0.7819,32,False
Guardarsi da fuori dal corpo,-0.151,0.4106,32,False
Perdita di controllo del corpo,0.021,0.9093,32,False
