Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.04,0.8828,16,False
Parole lette da qualcun altro,-0.393,0.1316,16,False
Pensieri non propri,0.027,0.9217,16,False
Pensieri come scritti,0.119,0.6613,16,False
Pensieri ripetuti o echeggianti,0.065,0.81,16,False
Perdita di contatto con se stessi,0.102,0.7057,16,False
Non essere più la stessa persona,-0.447,0.0826,16,False
Vuoto interiore,-0.327,0.2169,16,False
Disconnessione da sé e dai propri pensieri,0.172,0.5236,16,False
Sensazione di non essere l'autore delle proprie azioni,0.196,0.4669,16,False
Dubbio tra dire e pensare,0.033,0.9044,16,False
Guardarsi dall'esterno,0.135,0.6178,16,False
Guardarsi da fuori dal corpo,-0.071,0.7931,16,False
Perdita di controllo del corpo,0.071,0.7931,16,False
