Variable,r,p_value,N,Significant
Pensieri generati da altri,0.266,0.4291,11,False
Parole lette da qualcun altro,0.202,0.5517,11,False
Pensieri non propri,0.018,0.9573,11,False
Pensieri come scritti,0.018,0.9573,11,False
Pensieri ripetuti o echeggianti,0.312,0.3504,11,False
Perdita di contatto con se stessi,-0.266,0.4291,11,False
Non essere più la stessa persona,-0.028,0.936,11,False
Vuoto interiore,0.018,0.9573,11,False
Disconnessione da sé e dai propri pensieri,-0.376,0.2542,11,False
Sensazione di non essere l'autore delle proprie azioni,0.119,0.7269,11,False
Dubbio tra dire e pensare,0.22,0.5153,11,False
Guardarsi dall'esterno,-0.028,0.936,11,False
Guardarsi da fuori dal corpo,0.101,0.7678,11,False
Perdita di controllo del corpo,-0.028,0.936,11,False
