Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.289,0.3385,13,False
Parole lette da qualcun altro,-0.352,0.238,13,False
Pensieri non propri,-0.71,0.0066,13,True
Pensieri come scritti,-0.465,0.1094,13,False
Pensieri ripetuti o echeggianti,-0.669,0.0125,13,True
Perdita di contatto con se stessi,-0.663,0.0135,13,True
Non essere più la stessa persona,-0.746,0.0034,13,True
Vuoto interiore,0.088,0.7749,13,False
Disconnessione da sé e dai propri pensieri,-0.083,0.7887,13,False
Sensazione di non essere l'autore delle proprie azioni,-0.492,0.0873,13,False
Dubbio tra dire e pensare,-0.663,0.0135,13,True
Guardarsi dall'esterno,-0.567,0.0434,13,True
Guardarsi da fuori dal corpo,-0.047,0.8794,13,False
Perdita di controllo del corpo,-0.3,0.3195,13,False
