Variable,r,p_value,N,Significant
Pensieri generati da altri,0.08,0.7945,13,False
Parole lette da qualcun altro,-0.241,0.4283,13,False
Pensieri non propri,-0.205,0.5023,13,False
Pensieri come scritti,-0.014,0.9642,13,False
Pensieri ripetuti o echeggianti,-0.18,0.5567,13,False
Perdita di contatto con se stessi,-0.033,0.9143,13,False
Non essere più la stessa persona,-0.409,0.1648,13,False
Vuoto interiore,-0.089,0.7737,13,False
Disconnessione da sé e dai propri pensieri,0.21,0.4906,13,False
Sensazione di non essere l'autore delle proprie azioni,-0.169,0.5816,13,False
Dubbio tra dire e pensare,-0.144,0.6392,13,False
Guardarsi dall'esterno,-0.075,0.8084,13,False
Guardarsi da fuori dal corpo,0.008,0.9785,13,False
Perdita di controllo del corpo,0.058,0.8505,13,False
