Variable,r,p_value,N,Significant
Pensieri generati da altri,0.084,0.7951,12,False
Parole lette da qualcun altro,-0.063,0.8457,12,False
Pensieri non propri,-0.144,0.6561,12,False
Pensieri come scritti,-0.119,0.7124,12,False
Pensieri ripetuti o echeggianti,0.112,0.7287,12,False
Perdita di contatto con se stessi,-0.319,0.3126,12,False
Non essere più la stessa persona,-0.357,0.2542,12,False
Vuoto interiore,-0.424,0.1698,12,False
Disconnessione da sé e dai propri pensieri,-0.291,0.3593,12,False
Sensazione di non essere l'autore delle proprie azioni,-0.263,0.4094,12,False
Dubbio tra dire e pensare,-0.053,0.8712,12,False
Guardarsi dall'esterno,0.028,0.9311,12,False
Guardarsi da fuori dal corpo,-0.462,0.1302,12,False
Perdita di controllo del corpo,0.249,0.4357,12,False
