Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.053,0.8712,12,False
Parole lette da qualcun altro,0.343,0.2747,12,False
Pensieri non propri,0.245,0.4424,12,False
Pensieri come scritti,-0.067,0.8372,12,False
Pensieri ripetuti o echeggianti,0.259,0.4159,12,False
Perdita di contatto con se stessi,0.147,0.6482,12,False
Non essere più la stessa persona,0.018,0.9569,12,False
Vuoto interiore,0.308,0.3297,12,False
Disconnessione da sé e dai propri pensieri,0.571,0.0525,12,False
Sensazione di non essere l'autore delle proprie azioni,0.326,0.3015,12,False
Dubbio tra dire e pensare,0.291,0.3593,12,False
Guardarsi dall'esterno,-0.011,0.9741,12,False
Guardarsi da fuori dal corpo,0.067,0.8372,12,False
Perdita di controllo del corpo,0.119,0.7124,12,False
