Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.024,0.8934,33,False
Parole lette da qualcun altro,-0.157,0.3824,33,False
Pensieri non propri,0.231,0.1959,33,False
Pensieri come scritti,-0.05,0.7835,33,False
Pensieri ripetuti o echeggianti,-0.01,0.9543,33,False
Perdita di contatto con se stessi,0.203,0.2576,33,False
Non essere più la stessa persona,-0.142,0.4302,33,False
Vuoto interiore,0.061,0.7349,33,False
Disconnessione da sé e dai propri pensieri,0.235,0.1887,33,False
Sensazione di non essere l'autore delle proprie azioni,-0.116,0.5216,33,False
Dubbio tra dire e pensare,-0.286,0.1064,33,False
Guardarsi dall'esterno,-0.19,0.2892,33,False
Guardarsi da fuori dal corpo,-0.075,0.679,33,False
Perdita di controllo del corpo,-0.062,0.7307,33,False
