Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.256,0.227,24,False
Parole lette da qualcun altro,-0.057,0.7899,24,False
Pensieri non propri,-0.155,0.4701,24,False
Pensieri come scritti,-0.162,0.4489,24,False
Pensieri ripetuti o echeggianti,-0.339,0.1049,24,False
Perdita di contatto con se stessi,-0.044,0.8369,24,False
Non essere più la stessa persona,0.13,0.5462,24,False
Vuoto interiore,0.067,0.7574,24,False
Disconnessione da sé e dai propri pensieri,-0.008,0.9694,24,False
Sensazione di non essere l'autore delle proprie azioni,0.033,0.8797,24,False
Dubbio tra dire e pensare,-0.055,0.7977,24,False
Guardarsi dall'esterno,0.067,0.7559,24,False
Guardarsi da fuori dal corpo,0.186,0.3839,24,False
Perdita di controllo del corpo,-0.002,0.992,24,False
